[2026-05-06 18:48:47.253] schedule_summary_tick took 28.7ms | second_changed=1 blink=0
[2026-05-06 18:48:48.258] schedule_summary_tick took 24.6ms | second_changed=1 blink=0
[2026-05-06 18:48:49.254] schedule_summary_tick took 27.3ms | second_changed=1 blink=0
[2026-05-06 18:48:50.254] schedule_summary_tick took 33.6ms | second_changed=1 blink=0
[2026-05-06 18:48:51.250] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:48:52.256] schedule_summary_tick took 29.1ms | second_changed=1 blink=0
[2026-05-06 18:48:53.259] schedule_summary_tick took 24.8ms | second_changed=1 blink=0
[2026-05-06 18:48:54.249] schedule_summary_tick took 25.8ms | second_changed=1 blink=0
[2026-05-06 18:48:55.256] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:48:56.249] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:48:57.247] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:48:58.253] schedule_summary_tick took 23.5ms | second_changed=1 blink=0
[2026-05-06 18:48:59.245] schedule_summary_tick took 22.3ms | second_changed=1 blink=0
[2026-05-06 18:49:00.260] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:49:01.247] schedule_summary_tick took 26.1ms | second_changed=1 blink=0
[2026-05-06 18:49:02.252] schedule_summary_tick took 23.8ms | second_changed=1 blink=0
[2026-05-06 18:49:03.247] schedule_summary_tick took 26.2ms | second_changed=1 blink=0
[2026-05-06 18:49:04.257] schedule_summary_tick took 24.8ms | second_changed=1 blink=0
[2026-05-06 18:49:05.262] schedule_summary_tick took 39.0ms | second_changed=1 blink=0
[2026-05-06 18:49:06.252] schedule_summary_tick took 28.4ms | second_changed=1 blink=0
[2026-05-06 18:49:07.264] schedule_summary_tick took 32.3ms | second_changed=1 blink=0
[2026-05-06 18:49:08.255] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:49:09.256] schedule_summary_tick took 24.4ms | second_changed=1 blink=0
[2026-05-06 18:49:10.246] schedule_summary_tick took 22.8ms | second_changed=1 blink=0
[2026-05-06 18:49:11.248] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:49:12.263] schedule_summary_tick took 30.9ms | second_changed=1 blink=0
[2026-05-06 18:49:13.249] schedule_summary_tick took 23.2ms | second_changed=1 blink=0
[2026-05-06 18:49:14.255] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:49:15.256] schedule_summary_tick took 34.9ms | second_changed=1 blink=0
[2026-05-06 18:49:16.249] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:49:17.248] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:49:18.254] schedule_summary_tick took 27.2ms | second_changed=1 blink=0
[2026-05-06 18:49:19.256] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:49:20.247] schedule_summary_tick took 27.6ms | second_changed=1 blink=0
[2026-05-06 18:49:21.253] schedule_summary_tick took 26.7ms | second_changed=1 blink=0
[2026-05-06 18:49:22.244] schedule_summary_tick took 23.7ms | second_changed=1 blink=0
[2026-05-06 18:49:23.249] schedule_summary_tick took 23.0ms | second_changed=1 blink=0
[2026-05-06 18:49:24.261] schedule_summary_tick took 28.6ms | second_changed=1 blink=0
[2026-05-06 18:49:25.249] schedule_summary_tick took 25.7ms | second_changed=1 blink=0
[2026-05-06 18:49:26.248] schedule_summary_tick took 28.2ms | second_changed=1 blink=0
[2026-05-06 18:49:27.253] schedule_summary_tick took 22.9ms | second_changed=1 blink=0
[2026-05-06 18:49:28.248] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:49:29.246] schedule_summary_tick took 23.7ms | second_changed=1 blink=0
[2026-05-06 18:49:30.258] schedule_summary_tick took 36.6ms | second_changed=1 blink=0
[2026-05-06 18:49:31.256] schedule_summary_tick took 24.0ms | second_changed=1 blink=0
[2026-05-06 18:49:32.253] schedule_summary_tick took 27.0ms | second_changed=1 blink=0
[2026-05-06 18:49:33.245] schedule_summary_tick took 24.4ms | second_changed=1 blink=0
[2026-05-06 18:49:34.253] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:49:35.250] schedule_summary_tick took 22.8ms | second_changed=1 blink=0
[2026-05-06 18:49:36.256] schedule_summary_tick took 34.8ms | second_changed=1 blink=0
[2026-05-06 18:49:37.272] schedule_summary_tick took 42.2ms | second_changed=1 blink=0
[2026-05-06 18:49:38.255] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:49:39.251] schedule_summary_tick took 27.0ms | second_changed=1 blink=0
[2026-05-06 18:49:40.254] schedule_summary_tick took 23.0ms | second_changed=1 blink=0
[2026-05-06 18:49:41.258] schedule_summary_tick took 24.3ms | second_changed=1 blink=0
[2026-05-06 18:49:42.251] schedule_summary_tick took 24.1ms | second_changed=1 blink=0
[2026-05-06 18:49:43.252] schedule_summary_tick took 23.0ms | second_changed=1 blink=0
[2026-05-06 18:49:44.252] schedule_summary_tick took 27.2ms | second_changed=1 blink=0
[2026-05-06 18:49:45.257] schedule_summary_tick took 30.0ms | second_changed=1 blink=0
[2026-05-06 18:49:46.256] schedule_summary_tick took 28.6ms | second_changed=1 blink=0
[2026-05-06 18:49:47.265] schedule_summary_tick took 29.2ms | second_changed=1 blink=0
[2026-05-06 18:49:48.252] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:49:49.263] schedule_summary_tick took 28.5ms | second_changed=1 blink=0
[2026-05-06 18:49:50.304] schedule_summary_tick took 57.5ms | second_changed=1 blink=0
[2026-05-06 18:49:51.248] schedule_summary_tick took 22.6ms | second_changed=1 blink=0
[2026-05-06 18:49:52.251] schedule_summary_tick took 30.1ms | second_changed=1 blink=0
[2026-05-06 18:49:53.254] schedule_summary_tick took 27.4ms | second_changed=1 blink=0
[2026-05-06 18:49:54.244] schedule_summary_tick took 22.2ms | second_changed=1 blink=0
[2026-05-06 18:49:55.258] schedule_summary_tick took 30.5ms | second_changed=1 blink=0
[2026-05-06 18:49:56.246] schedule_summary_tick took 24.5ms | second_changed=1 blink=0
[2026-05-06 18:49:57.251] schedule_summary_tick took 24.3ms | second_changed=1 blink=0
[2026-05-06 18:49:58.093] schedule_alarm_tick took 47.6ms | second=18:49:58
[2026-05-06 18:49:58.253] schedule_summary_tick took 21.3ms | second_changed=1 blink=0
[2026-05-06 18:49:59.361] schedule_summary_tick took 122.8ms | second_changed=1 blink=0
[2026-05-06 18:50:00.274] schedule_summary_tick took 40.8ms | second_changed=1 blink=0
[2026-05-06 18:50:01.248] schedule_summary_tick took 23.5ms | second_changed=1 blink=0
[2026-05-06 18:50:02.254] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:50:03.253] schedule_summary_tick took 24.0ms | second_changed=1 blink=0
[2026-05-06 18:50:04.258] schedule_summary_tick took 37.3ms | second_changed=1 blink=0
[2026-05-06 18:50:05.274] schedule_summary_tick took 41.2ms | second_changed=1 blink=0
[2026-05-06 18:50:06.257] schedule_summary_tick took 36.1ms | second_changed=1 blink=0
[2026-05-06 18:50:07.251] schedule_summary_tick took 25.4ms | second_changed=1 blink=0
[2026-05-06 18:50:08.255] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:50:09.263] schedule_summary_tick took 29.4ms | second_changed=1 blink=0
[2026-05-06 18:50:10.258] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:50:11.255] schedule_summary_tick took 22.6ms | second_changed=1 blink=0
[2026-05-06 18:50:12.245] schedule_summary_tick took 24.8ms | second_changed=1 blink=0
[2026-05-06 18:50:13.249] schedule_summary_tick took 25.8ms | second_changed=1 blink=0
[2026-05-06 18:50:14.253] schedule_summary_tick took 28.8ms | second_changed=1 blink=0
[2026-05-06 18:50:15.256] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:50:16.254] schedule_summary_tick took 26.1ms | second_changed=1 blink=0
[2026-05-06 18:50:17.262] schedule_summary_tick took 26.3ms | second_changed=1 blink=0
[2026-05-06 18:50:18.257] schedule_summary_tick took 27.1ms | second_changed=1 blink=0
[2026-05-06 18:50:19.252] schedule_summary_tick took 27.8ms | second_changed=1 blink=0
[2026-05-06 18:50:20.256] schedule_summary_tick took 24.9ms | second_changed=1 blink=0
[2026-05-06 18:50:21.249] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:50:22.244] schedule_summary_tick took 23.5ms | second_changed=1 blink=0
[2026-05-06 18:50:23.258] schedule_summary_tick took 29.0ms | second_changed=1 blink=0
[2026-05-06 18:50:24.256] schedule_summary_tick took 27.6ms | second_changed=1 blink=0
[2026-05-06 18:50:25.259] schedule_summary_tick took 30.3ms | second_changed=1 blink=0
[2026-05-06 18:50:26.261] schedule_summary_tick took 28.3ms | second_changed=1 blink=0
[2026-05-06 18:50:27.262] schedule_summary_tick took 32.9ms | second_changed=1 blink=0
[2026-05-06 18:50:28.257] schedule_summary_tick took 24.3ms | second_changed=1 blink=0
[2026-05-06 18:50:29.250] schedule_summary_tick took 27.5ms | second_changed=1 blink=0
[2026-05-06 18:50:30.253] schedule_summary_tick took 25.6ms | second_changed=1 blink=0
[2026-05-06 18:50:31.251] schedule_summary_tick took 28.0ms | second_changed=1 blink=0
[2026-05-06 18:50:32.261] schedule_summary_tick took 26.8ms | second_changed=1 blink=0
[2026-05-06 18:50:33.253] schedule_summary_tick took 25.0ms | second_changed=1 blink=0
[2026-05-06 18:50:34.245] schedule_summary_tick took 25.1ms | second_changed=1 blink=0
[2026-05-06 18:50:35.256] schedule_summary_tick took 26.4ms | second_changed=1 blink=0
[2026-05-06 18:50:36.251] schedule_summary_tick took 29.8ms | second_changed=1 blink=0
[2026-05-06 18:50:37.249] schedule_summary_tick took 23.9ms | second_changed=1 blink=0
[2026-05-06 18:50:38.257] schedule_summary_tick took 27.5ms | second_changed=1 blink=0
[2026-05-06 18:50:39.250] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
[2026-05-06 18:50:40.261] schedule_summary_tick took 32.4ms | second_changed=1 blink=0
[2026-05-06 18:50:41.258] schedule_summary_tick took 24.9ms | second_changed=1 blink=0
[2026-05-06 18:50:42.251] schedule_summary_tick took 27.0ms | second_changed=1 blink=0
[2026-05-06 18:50:43.244] schedule_summary_tick took 24.3ms | second_changed=1 blink=0
[2026-05-06 18:50:44.254] schedule_summary_tick took 22.1ms | second_changed=1 blink=0
[2026-05-06 18:50:45.250] schedule_summary_tick took 26.5ms | second_changed=1 blink=0
[2026-05-06 18:50:46.251] schedule_summary_tick took 31.3ms | second_changed=1 blink=0
[2026-05-06 18:50:47.247] schedule_summary_tick took 26.0ms | second_changed=1 blink=0
[2026-05-06 18:50:48.255] schedule_summary_tick took 26.0ms | second_changed=1 blink=0
[2026-05-06 18:50:49.246] schedule_summary_tick took 25.9ms | second_changed=1 blink=0
[2026-05-06 18:50:50.249] schedule_summary_tick took 26.9ms | second_changed=1 blink=0
[2026-05-06 18:50:51.255] schedule_summary_tick took 21.9ms | second_changed=1 blink=0
[2026-05-06 18:50:52.262] schedule_summary_tick took 27.7ms | second_changed=1 blink=0
